國文,英文,數學,社會,自然
12,13,7,13,15
7,9,10,9,12
6,13,14,14,10
7,6,10,15,15
14,11,10,8,7
7,12,8,15,9
8,14,13,11,9
10,15,10,11,11
12,10,14,15,15
12,14,9,11,6
13,10,10,8,6
8,7,7,11,9
11,12,15,6,6
8,12,9,7,8
10,14,9,6,7
12,8,12,9,10
12,8,11,14,13
11,8,12,9,8
7,13,11,11,14
10,14,10,6,7
6,14,10,9,12
10,9,7,13,12
12,12,12,14,9
7,15,12,8,15
11,12,6,8,7
12,12,7,13,13
11,13,10,11,13
10,7,14,13,8
14,12,13,15,6
7,6,12,10,10
10,11,11,6,13
8,10,8,11,7
12,9,11,10,15
6,14,11,10,6
10,10,12,15,8
9,13,11,7,15
13,13,10,6,13
7,12,11,11,12
11,8,11,6,8
8,9,15,13,15
11,12,14,12,6
6,12,7,14,13
6,6,15,14,8
14,13,15,9,8
9,8,13,11,7
9,6,8,7,7
7,13,13,7,9
11,7,14,15,8
10,14,8,8,6
11,10,10,13,13
10,14,10,11,7
10,15,13,8,11
11,11,12,6,14
12,15,11,6,6
7,10,9,10,7
12,11,9,15,13
14,9,14,15,7
9,9,6,14,11
9,13,7,11,15
8,11,15,10,7
9,13,6,14,11
6,6,14,11,9
8,7,6,9,6
6,8,12,9,8
12,12,9,14,7
13,13,6,12,7
7,15,13,14,8
11,15,9,9,6
14,12,14,7,10
15,9,7,9,8
10,15,15,8,13
11,10,12,11,11
13,13,15,9,6
15,6,11,9,9
10,12,15,11,13
9,11,14,6,12
9,11,12,10,7
11,6,15,12,11
14,10,15,15,8
15,14,12,14,14
6,14,12,14,10
6,9,15,13,7
6,9,15,6,6
8,13,10,11,10
6,10,11,15,13
8,7,9,11,6
8,10,7,10,7
13,6,10,11,9
11,12,7,12,7
7,12,9,10,6
6,9,15,9,14
8,13,6,12,8
8,7,12,6,7
6,6,10,7,15
15,13,13,7,13
12,12,11,9,11
10,14,6,6,14
14,13,7,15,11
14,9,8,13,13
13,11,15,14,7
